"","TIME","GEO","PRODUCT","Value"
"1",2007,"Belgium","Natural gas",0.05
"2",2008,"Belgium","Natural gas",0.0729
"3",2009,"Belgium","Natural gas",0.0516
"4",2010,"Belgium","Natural gas",0.0604
"5",2011,"Belgium","Natural gas",0.0731
"6",2012,"Belgium","Natural gas",0.0734
"7",2013,"Belgium","Natural gas",0.0668
"8",2014,"Belgium","Natural gas",0.065
"9",2007,"Bulgaria","Natural gas",0.0323
"10",2008,"Bulgaria","Natural gas",0.0391
"11",2009,"Bulgaria","Natural gas",0.0348
"12",2010,"Bulgaria","Natural gas",0.0431
"13",2011,"Bulgaria","Natural gas",0.0472
"14",2012,"Bulgaria","Natural gas",0.0556
"15",2013,"Bulgaria","Natural gas",0.0518
"16",2014,"Bulgaria","Natural gas",0.0473
"17",2007,"Czech Republic","Natural gas",0.0362
"18",2008,"Czech Republic","Natural gas",0.0529
"19",2009,"Czech Republic","Natural gas",0.0472
"20",2010,"Czech Republic","Natural gas",0.0517
"21",2011,"Czech Republic","Natural gas",0.0595
"22",2012,"Czech Republic","Natural gas",0.0661
"23",2013,"Czech Republic","Natural gas",0.0575
"24",2014,"Czech Republic","Natural gas",0.0563
"25",2007,"Denmark","Natural gas",0.0885
"26",2008,"Denmark","Natural gas",0.0979
"27",2009,"Denmark","Natural gas",0.0851
"28",2010,"Denmark","Natural gas",0.0965
"29",2011,"Denmark","Natural gas",0.1029
"30",2012,"Denmark","Natural gas",0.0955
"31",2013,"Denmark","Natural gas",0.0977
"32",2014,"Denmark","Natural gas",0.0878
"33",2007,"Germany","Natural gas",0.0613
"34",2008,"Germany","Natural gas",0.0762
"35",2009,"Germany","Natural gas",0.0589
"36",2010,"Germany","Natural gas",0.0571
"37",2011,"Germany","Natural gas",0.064
"38",2012,"Germany","Natural gas",0.0648
"39",2013,"Germany","Natural gas",0.0689
"40",2014,"Germany","Natural gas",0.0681
"41",2007,"Estonia","Natural gas",0.0263
"42",2008,"Estonia","Natural gas",0.0371
"43",2009,"Estonia","Natural gas",0.0363
"44",2010,"Estonia","Natural gas",0.0401
"45",2011,"Estonia","Natural gas",0.0437
"46",2012,"Estonia","Natural gas",0.0518
"47",2013,"Estonia","Natural gas",0.0476
"48",2014,"Estonia","Natural gas",0.0494
"49",2007,"Ireland","Natural gas",0.0607
"50",2008,"Ireland","Natural gas",0.065
"51",2009,"Ireland","Natural gas",0.055
"52",2010,"Ireland","Natural gas",0.0527
"53",2011,"Ireland","Natural gas",0.0618
"54",2012,"Ireland","Natural gas",0.0672
"55",2013,"Ireland","Natural gas",0.0722
"56",2014,"Ireland","Natural gas",0.0745
"57",2007,"Greece","Natural gas",NA
"58",2008,"Greece","Natural gas",NA
"59",2009,"Greece","Natural gas",NA
"60",2010,"Greece","Natural gas",NA
"61",2011,"Greece","Natural gas",NA
"62",2012,"Greece","Natural gas",0.1017
"63",2013,"Greece","Natural gas",0.0888
"64",2014,"Greece","Natural gas",0.0798
"65",2007,"Spain","Natural gas",0.0581
"66",2008,"Spain","Natural gas",0.0653
"67",2009,"Spain","Natural gas",0.0535
"68",2010,"Spain","Natural gas",0.054
"69",2011,"Spain","Natural gas",0.054
"70",2012,"Spain","Natural gas",0.0863
"71",2013,"Spain","Natural gas",0.0892
"72",2014,"Spain","Natural gas",0.0959
"73",2007,"France","Natural gas",0.0515
"74",2008,"France","Natural gas",0.0578
"75",2009,"France","Natural gas",0.0583
"76",2010,"France","Natural gas",0.0575
"77",2011,"France","Natural gas",0.0646
"78",2012,"France","Natural gas",0.0682
"79",2013,"France","Natural gas",0.0729
"80",2014,"France","Natural gas",0.0762
"81",2007,"Croatia","Natural gas",0.0274
"82",2008,"Croatia","Natural gas",0.0277
"83",2009,"Croatia","Natural gas",0.0328
"84",2010,"Croatia","Natural gas",0.038
"85",2011,"Croatia","Natural gas",0.0372
"86",2012,"Croatia","Natural gas",0.0472
"87",2013,"Croatia","Natural gas",0.0468
"88",2014,"Croatia","Natural gas",0.0475
"89",2007,"Italy","Natural gas",0.0617
"90",2008,"Italy","Natural gas",0.072
"91",2009,"Italy","Natural gas",0.0534
"92",2010,"Italy","Natural gas",0.0787
"93",2011,"Italy","Natural gas",0.0875
"94",2012,"Italy","Natural gas",0.0968
"95",2013,"Italy","Natural gas",0.0946
"96",2014,"Italy","Natural gas",0.0951
"97",2007,"Latvia","Natural gas",0.0311
"98",2008,"Latvia","Natural gas",0.05
"99",2009,"Latvia","Natural gas",0.0379
"100",2010,"Latvia","Natural gas",0.0406
"101",2011,"Latvia","Natural gas",0.0457
"102",2012,"Latvia","Natural gas",0.056
"103",2013,"Latvia","Natural gas",0.0504
"104",2014,"Latvia","Natural gas",0.0488
"105",2007,"Lithuania","Natural gas",0.0235
"106",2008,"Lithuania","Natural gas",0.0382
"107",2009,"Lithuania","Natural gas",0.0406
"108",2010,"Lithuania","Natural gas",0.0453
"109",2011,"Lithuania","Natural gas",0.054
"110",2012,"Lithuania","Natural gas",0.0611
"111",2013,"Lithuania","Natural gas",0.0614
"112",2014,"Lithuania","Natural gas",0.0499
"113",2007,"Luxembourg","Natural gas",0.0364
"114",2008,"Luxembourg","Natural gas",0.0514
"115",2009,"Luxembourg","Natural gas",0.0461
"116",2010,"Luxembourg","Natural gas",0.0473
"117",2011,"Luxembourg","Natural gas",0.0579
"118",2012,"Luxembourg","Natural gas",0.0594
"119",2013,"Luxembourg","Natural gas",0.0566
"120",2014,"Luxembourg","Natural gas",0.0514
"121",2007,"Hungary","Natural gas",0.0382
"122",2008,"Hungary","Natural gas",0.0465
"123",2009,"Hungary","Natural gas",0.0476
"124",2010,"Hungary","Natural gas",0.0554
"125",2011,"Hungary","Natural gas",0.057
"126",2012,"Hungary","Natural gas",0.0517
"127",2013,"Hungary","Natural gas",0.042
"128",2014,"Hungary","Natural gas",0.0351
"129",2007,"Netherlands","Natural gas",0.0707
"130",2008,"Netherlands","Natural gas",0.0757
"131",2009,"Netherlands","Natural gas",0.0675
"132",2010,"Netherlands","Natural gas",0.0665
"133",2011,"Netherlands","Natural gas",0.0741
"134",2012,"Netherlands","Natural gas",0.0844
"135",2013,"Netherlands","Natural gas",0.0846
"136",2014,"Netherlands","Natural gas",0.082
"137",2007,"Austria","Natural gas",0.061
"138",2008,"Austria","Natural gas",0.0616
"139",2009,"Austria","Natural gas",0.062
"140",2010,"Austria","Natural gas",0.0602
"141",2011,"Austria","Natural gas",0.0721
"142",2012,"Austria","Natural gas",0.0763
"143",2013,"Austria","Natural gas",0.0754
"144",2014,"Austria","Natural gas",0.073
"145",2007,"Poland","Natural gas",0.0401
"146",2008,"Poland","Natural gas",0.0515
"147",2009,"Poland","Natural gas",0.046
"148",2010,"Poland","Natural gas",0.0505
"149",2011,"Poland","Natural gas",0.05
"150",2012,"Poland","Natural gas",0.0576
"151",2013,"Poland","Natural gas",0.0509
"152",2014,"Poland","Natural gas",0.05
"153",2007,"Portugal","Natural gas",0.0653
"154",2008,"Portugal","Natural gas",0.0629
"155",2009,"Portugal","Natural gas",0.0595
"156",2010,"Portugal","Natural gas",0.063
"157",2011,"Portugal","Natural gas",0.0738
"158",2012,"Portugal","Natural gas",0.0853
"159",2013,"Portugal","Natural gas",0.0933
"160",2014,"Portugal","Natural gas",0.1039
"161",2007,"Romania","Natural gas",0.0342
"162",2008,"Romania","Natural gas",0.0336
"163",2009,"Romania","Natural gas",0.0268
"164",2010,"Romania","Natural gas",0.0278
"165",2011,"Romania","Natural gas",0.0276
"166",2012,"Romania","Natural gas",0.0274
"167",2013,"Romania","Natural gas",0.0307
"168",2014,"Romania","Natural gas",0.0319
"169",2007,"Slovenia","Natural gas",0.0509
"170",2008,"Slovenia","Natural gas",0.0712
"171",2009,"Slovenia","Natural gas",0.0539
"172",2010,"Slovenia","Natural gas",0.0673
"173",2011,"Slovenia","Natural gas",0.0792
"174",2012,"Slovenia","Natural gas",0.073
"175",2013,"Slovenia","Natural gas",0.071
"176",2014,"Slovenia","Natural gas",0.0634
"177",2007,"Slovakia","Natural gas",0.0414
"178",2008,"Slovakia","Natural gas",0.0465
"179",2009,"Slovakia","Natural gas",0.0476
"180",2010,"Slovakia","Natural gas",0.0446
"181",2011,"Slovakia","Natural gas",0.0512
"182",2012,"Slovakia","Natural gas",0.0514
"183",2013,"Slovakia","Natural gas",0.0518
"184",2014,"Slovakia","Natural gas",0.0519
"185",2007,"Sweden","Natural gas",0.0893
"186",2008,"Sweden","Natural gas",0.1016
"187",2009,"Sweden","Natural gas",0.094
"188",2010,"Sweden","Natural gas",0.1061
"189",2011,"Sweden","Natural gas",0.1165
"190",2012,"Sweden","Natural gas",0.1268
"191",2013,"Sweden","Natural gas",0.1224
"192",2014,"Sweden","Natural gas",0.1138
"193",2007,"United Kingdom","Natural gas",0.0357
"194",2008,"United Kingdom","Natural gas",0.0478
"195",2009,"United Kingdom","Natural gas",0.0426
"196",2010,"United Kingdom","Natural gas",0.0422
"197",2011,"United Kingdom","Natural gas",0.0523
"198",2012,"United Kingdom","Natural gas",0.0578
"199",2013,"United Kingdom","Natural gas",0.0588
"200",2014,"United Kingdom","Natural gas",0.0646
"201",2007,"Liechtenstein","Natural gas",NA
"202",2008,"Liechtenstein","Natural gas",NA
"203",2009,"Liechtenstein","Natural gas",NA
"204",2010,"Liechtenstein","Natural gas",NA
"205",2011,"Liechtenstein","Natural gas",NA
"206",2012,"Liechtenstein","Natural gas",NA
"207",2013,"Liechtenstein","Natural gas",NA
"208",2014,"Liechtenstein","Natural gas",0.0857
"209",2007,"Serbia","Natural gas",NA
"210",2008,"Serbia","Natural gas",NA
"211",2009,"Serbia","Natural gas",NA
"212",2010,"Serbia","Natural gas",NA
"213",2011,"Serbia","Natural gas",NA
"214",2012,"Serbia","Natural gas",NA
"215",2013,"Serbia","Natural gas",0.0439
"216",2014,"Serbia","Natural gas",0.0451
